dir,plot,Plot_code,spectral
IronMtn_Derby_1_1_long_1,IronMtn_Derby_1_1_long_1_rgb_hh,IronMtn_Derby_1_1_long_1,rgb
IronMtn_Derby_1_1_long_1_incremental_tests,IronMtn_Derby_1_1_long_1_rgnir_hh_1gcps_withgps,IronMtn_Derby_1_1_long_1,rgnir
IronMtn_Derby_1_1_long_1_incremental_tests,IronMtn_Derby_1_1_long_1_rgnir_hh_5gcps_withgps,IronMtn_Derby_1_1_long_1,rgnir
IronMtn_Derby_1_1_long_1_incremental_tests,IronMtn_Derby_1_1_long_1_rgnir_hh_8gcps_nogps,IronMtn_Derby_1_1_long_1,rgnir
IronMtn_Derby_1_1_long_1_incremental_tests,IronMtn_Derby_1_1_long_1_rgnir_hh_8gcps_withgps,IronMtn_Derby_1_1_long_1,rgnir
IronMtn_Derby_1_1_long_1_incremental_tests,IronMtn_Derby_1_1_long_1_rgnir_hh_8gcps_withgps_nadironly,IronMtn_Derby_1_1_long_1,rgnir
IronMtn_Derby_1_1_long_1_incremental_tests,IronMtn_Derby_1_1_long_1_rgnir_hh_nogcps,IronMtn_Derby_1_1_long_1,rgnir
IronMtn_Derby_1_5_long_2,IronMtn_Derby_1_5_long_2_rgb_hh,IronMtn_Derby_1_5_long_2,rgb
IronMtn_Derby_1_5_long_2_incremental_tests,IronMtn_Derby_1_5_long_2_rgnir_hh_1gcps_withgps,IronMtn_Derby_1_5_long_2,rgnir
IronMtn_Derby_1_5_long_2_incremental_tests,IronMtn_Derby_1_5_long_2_rgnir_hh_5gcps_withgps,IronMtn_Derby_1_5_long_2,rgnir
IronMtn_Derby_1_5_long_2_incremental_tests,IronMtn_Derby_1_5_long_2_rgnir_hh_8gcps_nogps,IronMtn_Derby_1_5_long_2,rgnir
IronMtn_Derby_1_5_long_2_incremental_tests,IronMtn_Derby_1_5_long_2_rgnir_hh_8gcps_withgps,IronMtn_Derby_1_5_long_2,rgnir
IronMtn_Derby_1_5_long_2_incremental_tests,IronMtn_Derby_1_5_long_2_rgnir_hh_8gcps_withgps_nadironly,IronMtn_Derby_1_5_long_2,rgnir
IronMtn_Derby_1_5_long_2_incremental_tests,IronMtn_Derby_1_5_long_2_rgnir_hh_nogcps,IronMtn_Derby_1_5_long_2,rgnir
IronMtn_Derby_1_5_short_0,IronMtn_Derby_1_5_short_0_rgb_hh,IronMtn_Derby_1_5_short_0,rgb
IronMtn_Derby_1_5_short_0_incremental_tests,IronMtn_Derby_1_5_short_0_rgnir_hh_1gcps_withgps,IronMtn_Derby_1_5_short_0,rgnir
IronMtn_Derby_1_5_short_0_incremental_tests,IronMtn_Derby_1_5_short_0_rgnir_hh_5gcps_withgps,IronMtn_Derby_1_5_short_0,rgnir
IronMtn_Derby_1_5_short_0_incremental_tests,IronMtn_Derby_1_5_short_0_rgnir_hh_8gcps_nogps,IronMtn_Derby_1_5_short_0,rgnir
IronMtn_Derby_1_5_short_0_incremental_tests,IronMtn_Derby_1_5_short_0_rgnir_hh_8gcps_withgps,IronMtn_Derby_1_5_short_0,rgnir
IronMtn_Derby_1_5_short_0_incremental_tests,IronMtn_Derby_1_5_short_0_rgnir_hh_8gcps_withgps_nadironly,IronMtn_Derby_1_5_short_0,rgnir
IronMtn_Derby_1_5_short_0_incremental_tests,IronMtn_Derby_1_5_short_0_rgnir_hh_nogcps,IronMtn_Derby_1_5_short_0,rgnir
